"Statistic","Sex","Ethnicity","Cause of Death","Age Group","UNIT","2017","2018","2019","2020","2021","2022"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","80 - 84 years","Number","1732","1682","1770","1697","1688","1756"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","85 years and over","Number","2310","2368","2489","2389","2256","2196"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","64 years and under","Number","57","57","58","57","56","59"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","C00-D48 Neoplasms","65 years and over","Number","1103","1090","1106","1079","1047","1063"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","All ages","Number","2","2","2","2","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","40 - 64 years","Number","1","1","1","1","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","65 - 69 years","Number","5","5","2","2","2","4"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","70 - 74 years","Number","9","6","6","5","5","8"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","75 - 79 years","Number","13","8","12","12","7","10"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","80 - 84 years","Number","12","18","17","17","11","22"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","85 years and over","Number","51","42","47","45","37","36"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","64 years and under","Number","0","0","1","0","1","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","D50-D89 Diseases of the blood and bloodforming organs and certain disorders involving the immune mechanism","65 years and over","Number","13","11","13","11","10","12"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","All ages","Number","16","17","16","19","18","19"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","Under 5 years","Number","0","2","0","2","0","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","20 - 39 years","Number","2","1","1","1","1","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","40 - 64 years","Number","5","6","6","8","6","7"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","65 - 69 years","Number","24","31","26","23","29","24"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","70 - 74 years","Number","58","43","47","56","50","47"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","75 - 79 years","Number","100","101","93","81","91","93"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","80 - 84 years","Number","195","186","157","210","178","170"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","85 years and over","Number","368","364","345","415","417","450"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","64 years and under","Number","2","3","3","3","3","3"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","E00-E90 Endocrine, nutritional and metabolic diseases","65 years and over","Number","106","102","94","110","108","109"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","All ages","Number","37","41","41","37","39","42"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","20 - 39 years","Number","0","0","0","1","0","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","40 - 64 years","Number","2","2","2","2","3","3"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","65 - 69 years","Number","14","14","12","14","13","15"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","70 - 74 years","Number","52","55","55","48","50","52"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","75 - 79 years","Number","153","164","169","139","145","172"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","80 - 84 years","Number","451","485","460","443","429","461"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","85 years and over","Number","1559","1682","1616","1383","1427","1452"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","64 years and under","Number","1","1","1","1","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","F00-F99 Mental and behavioural disorders","65 years and over","Number","272","292","284","251","256","271"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","All ages","Number","33","34","33","33","35","36"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","Under 5 years","Number","3","2","2","0","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","5 - 19 years","Number","2","2","1","1","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","20 - 39 years","Number","3","3","3","2","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","40 - 64 years","Number","11","11","12","11","11","12"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","65 - 69 years","Number","41","49","49","45","49","52"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","70 - 74 years","Number","103","113","89","113","105","96"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","75 - 79 years","Number","209","197","190","181","207","203"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","80 - 84 years","Number","390","383","378","363","379","423"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","85 years and over","Number","765","764","730","688","698","666"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","64 years and under","Number","6","5","6","5","5","6"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","G00-G99 Diseases of the nervous system","65 years and over","Number","210","213","201","199","207","207"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","All ages","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","85 years and over","Number","0","0","0","0","6","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H00-H59 Diseases of the eye and adnexa","65 years and over","Number","0","0","0","0","1","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","All ages","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","40 - 64 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","65 - 69 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","70 - 74 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","75 - 79 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","80 - 84 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","85 years and over","Number","0","0","0","0","0","6"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","H60-H95 Diseases of the ear and mastoid process","65 years and over","Number","0","0","0","0","0","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","All ages","Number","189","191","188","183","192","200"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","Under 5 years","Number","2","2","2","0","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","5 - 19 years","Number","1","1","0","1","1","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","20 - 39 years","Number","6","6","7","7","7","7"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","40 - 64 years","Number","70","71","70","68","71","69"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","65 - 69 years","Number","281","299","267","250","262","245"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","70 - 74 years","Number","452","476","476","426","415","468"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","75 - 79 years","Number","982","981","843","819","809","896"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","80 - 84 years","Number","1848","1820","1758","1714","1727","1728"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","85 years and over","Number","5623","5409","5262","4946","5054","5106"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","64 years and under","Number","28","28","28","28","30","29"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","I00-I99 Diseases of the circulatory system","65 years and over","Number","1231","1214","1160","1102","1122","1159"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","All ages","Number","86","85","83","68","66","78"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","Under 5 years","Number","2","2","2","0","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","5 - 19 years","Number","1","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","20 - 39 years","Number","2","2","2","1","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","40 - 64 years","Number","16","19","18","15","14","15"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","65 - 69 years","Number","113","120","125","96","90","107"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","70 - 74 years","Number","242","237","238","193","189","207"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","75 - 79 years","Number","502","453","440","369","370","436"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","80 - 84 years","Number","976","922","868","727","674","801"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","85 years and over","Number","2620","2501","2293","1740","1595","1878"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","64 years and under","Number","7","8","7","6","6","7"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","J00-J99 Diseases of the respiratory system","65 years and over","Number","598","570","542","432","409","481"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","All ages","Number","23","24","25","24","27","28"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","20 - 39 years","Number","3","3","3","4","4","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","40 - 64 years","Number","19","20","21","18","25","22"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","65 - 69 years","Number","41","54","42","43","43","50"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","70 - 74 years","Number","64","69","55","67","66","70"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","75 - 79 years","Number","100","117","117","112","105","117"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","80 - 84 years","Number","201","174","175","165","223","181"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","85 years and over","Number","433","385","467","389","386","444"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","64 years and under","Number","8","8","9","8","11","9"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","K00-K93 Diseases of the digestive system","65 years and over","Number","121","120","122","116","121","129"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","All ages","Number","1","1","1","1","1","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","40 - 64 years","Number","0","0","0","0","0","1"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","65 - 69 years","Number","0","2","2","2","2","4"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","70 - 74 years","Number","3","0","3","0","3","3"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","75 - 79 years","Number","4","4","4","8","4","7"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","80 - 84 years","Number","12","6","12","11","11","16"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","85 years and over","Number","51","49","34","39","50","36"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","64 years and under","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","L00-L99 Diseases of the skin and subcutaneous tissue","65 years and over","Number","9","8","7","7","9","10"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","All ages","Number","5","5","5","6","5","7"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","Under 5 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","5 - 19 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","20 - 39 years","Number","0","0","0","0","0","0"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","40 - 64 years","Number","1","2","1","2","2","2"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","65 - 69 years","Number","7","7","9","7","4","7"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","70 - 74 years","Number","18","12","11","13","13","21"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","75 - 79 years","Number","26","25","36","27","33","24"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","80 - 84 years","Number","61","54","47","45","61","66"
"Deaths per 100,000 persons - Mortality","Both sexes","All ethnic or cultural backgrounds","M00-M99 Diseases of musculoskeletal system and connective tissue","85 years and over","Number","152","140","135","169","131","174"
